,batch,gender,music_streaming_platform,language_music_primary,music_language_secondary,fav_music_genre,fav_music_genre_2,num_concerts,num_songs_playlist,fav_musical_ins,play_instrument,fav_music_artist,fav_music_band,movie_streaming_platform,fav_movie_genre,fav_tvseries_genre,movie_watching_mode,movie_preference,fav_movie_actor,fav_series_actor,fav_movie,fav_series,time_movie_week,highest_binge_hr,opp_barb
40,CSIT 2025,Male,Spotify,English,Nepali,Indie,Classical / Traditional,1,269,Ukulele,,Anuv Jain,Tribal rain,Unofficial Streaming Sites (FMovies) etc.,Comedy,Others,Laptop / PC,Hollywood,Ana De Armas ,Giancarlo Esposito,Godfather,South Park,5,22,Barbie
41,CSIT 2025,Female,Spotify,English,Hindi,Indie,Rock / Metal / Grunge,8,20,Guitar,Guitar,Phosphenes,Cigarettes After Sex,Unofficial Streaming Sites (FMovies) etc.,Others,Comedy,Laptop / PC,Hollywood,Bradley Cooper,Courtney Cox,Begin Again,Friends,4,0,Barbie
42,CSIT 2025,Male,Apple Music,English,Hindi,Rap / HipHop,Instrumental / Soul,2,200,Drums,,Future,The Roots,Unofficial Streaming Sites (FMovies) etc.,Thriller,Crime,TV,Hollywood,Heath Ledger,James Gandolfini,The Shawshank Redemption,Game Of Thrones,3,10,Barbie
43,CSIT 2025,Male,Spotify,English,Nepali,Indie,Rap / HipHop,3,30,Guitar,Guitar,Bipul chettri,Elements ,Unofficial Streaming Sites (FMovies) etc.,Comedy,Anime,Cinema,South Indian,Samantha,Allu arjun,Your Name,Game Of Thrones,1,20,Oppenheimer
44,CSIT 2025,Male,Spotify,Nepali,English,Pop,Rap / HipHop,0,100,Drums,Ukulele,Lewis Capaldi,Nepathya,Unofficial Streaming Sites (FMovies) etc.,Thriller,Sci-Fi,Cinema,Hollywood,Tom Hanks,Bryan Cranston,Interstellar,The Boys,4,3,Barbie
45,CSIT 2025,Male,YouTube,English,Nepali,Others,Rock / Metal / Grunge,1,100,Guitar,,Bryan Adams,Bryan Adams ,Unofficial Streaming Sites (FMovies) etc.,Thriller,Romance / Love Story,Cinema,Hollywood,Tom Cruise,(empty),Avatar,Sherlock,7,10,Oppenheimer
46,CSIT 2026,Male,Spotify,English,,Rap / HipHop,Others,0,15,Guitar,,NF,Nepathya,Unofficial Streaming Sites (FMovies) etc.,Anime,Thriller,Laptop / PC,Hollywood,Robert Downey Jr.,Cilian Murphy,Avengers: End Game,Peaky Blinders,3,13,Oppenheimer
47,CSIT 2026,Male,YouTube,English,Nepali,EDM / Funk,Rap / HipHop,0,12,Drums,,Eminem,Nepathya,Unofficial Streaming Sites (FMovies) etc.,Sci-Fi,Sci-Fi,Cinema,South Indian,Shahrukh Khan,Brad Pitt,Interstellar,Mero Bassai,3,8,Oppenheimer
48,CSIT 2026,Male,YouTube,Nepali,Hindi,Instrumental / Soul,Rap / HipHop,1,7,Drums,Madal,Narayan Gopal,Nepathya ,Torrent / Download,Comedy,Thriller,Laptop / PC,South Indian,Shahrukh Khan,Deepika Padukone ,Taare Zameen Par,HellBound,2,12,Oppenheimer
49,CSIT 2026,Male,YouTube,English,Nepali,Rock / Metal / Grunge,Indie,2,17,Piano / Keyboard,,Thom Yorke ,Radiohead,Unofficial Streaming Sites (FMovies) etc.,Crime,Crime,TV,Hollywood,Matthew McConaughey,Rami Malek,Taxi Driver,Mr Robot,5,15,Oppenheimer
